wk,date,time,home,homegoals,away,awaygoals,home_xg,away_xg
27,2021-11-07,15:00,Hammarby,3,Örebro,2,3.262183297237081,0.45280711953429265
27,2021-11-07,15:00,BK Häcken,2,Degerfors IF,0,1.2246475773579493,0.8201120787479841
27,2021-11-07,17:30,IFK Göteborg,0,Malmö FF,2,0.542158508365717,1.6327812692910117
27,2021-11-07,17:30,Kalmar FF,1,IFK Norrköping FK,0,1.4616505980825318,0.9872647041787663
28,2021-11-20,15:00,Malmö FF,2,BK Häcken,2,4.267490496944329,1.4940588315486119
28,2021-11-21,15:00,Halmstad,0,IF Elfsborg,1,2.5549568211755513,1.1106219693880213
28,2021-11-21,15:00,Degerfors IF,1,Hammarby,4,1.6483296950181152,1.8983143746010671
28,2021-11-21,17:30,IK Sirius FK,3,IFK Göteborg,3,2.4705061764282235,0.6583289272004533
28,2021-11-21,17:30,Varbergs BoIS FC,0,AIK,1,0.9478203525435609,1.8912120048169716
28,2021-11-22,19:00,Örebro,1,Kalmar FF,2,0.9578065569284108,0.9879100792956903
28,2021-11-22,19:00,Östersund,0,Mjällby AIF,2,0.2148950184196879,1.8025856763380035
28,2021-11-22,19:00,IFK Norrköping FK,1,Djurgården,1,0.4720954079556194,0.7943213509957222
29,2021-11-28,15:00,Djurgården,2,Varbergs BoIS FC,3,2.6818895185553018,0.3514355759245566
29,2021-11-28,15:00,Degerfors IF,4,IFK Norrköping FK,1,2.9085317152069146,0.3961699501907042
29,2021-11-28,15:00,IFK Göteborg,4,Östersund,0,3.8431629906096862,0.7669523263236433
29,2021-11-28,17:30,Halmstad,0,Hammarby,0,1.0281593313690147,0.5951758002738394
29,2021-11-28,17:30,Kalmar FF,0,Malmö FF,1,0.2680309916278902,2.321749843280947
29,2021-11-29,19:00,IF Elfsborg,2,AIK,4,1.5451525249133549,1.3004643370827016
29,2021-11-29,19:00,Mjällby AIF,0,Örebro,0,0.9690741130329683,0.4349008569588308
29,2021-11-29,19:00,IK Sirius FK,3,BK Häcken,0,1.7193242093975103,0.7580713705454749
30,2021-12-04,15:00,BK Häcken,0,Djurgården,1,0.265815922861784,0.6938018800188606
30,2021-12-04,15:00,AIK,4,IK Sirius FK,2,2.791975396017186,0.7026246053580961
30,2021-12-04,15:00,Östersund,0,Degerfors IF,1,0.6443020062299327,2.3047682811615497
30,2021-12-04,15:00,Varbergs BoIS FC,0,Mjällby AIF,3,1.1361514457479533,1.9835848604448012
30,2021-12-04,15:00,IFK Norrköping FK,1,IFK Göteborg,2,0.9365314683775952,1.3695563882941089
30,2021-12-04,15:00,Hammarby,5,Kalmar FF,3,6.646093926499335,1.70988390079052
30,2021-12-04,15:00,Malmö FF,0,Halmstad,0,1.2322427880915559,0.07318354679329797
30,2021-12-04,15:00,Örebro,2,IF Elfsborg,3,0.5454847082163048,2.0790228036558793
